Player Name	Player Level	Outcome	Ship Name	Ship Level	Ship Strength	Ship XP	Officer One	Officer Two	Officer Three	Hull Health	Hull Health Remaining	Shield Health	Shield Health Remaining	Location	Timestamp
TojlathHD	66	DEFEAT	U.S.S. ENTERPRISE-D	60	2829197568	0	SNW Christopher Pike	Kathryn Janeway	SNW M'Benga	2306617541	0	2158204705	0	Intello	3/22/2026 10:57:32 AM
Jimbob1325	64	VICTORY	U.S.S. ENTERPRISE-D	50	2670171904	0	Christopher Pike	Marlena Moreau	Grace Chen	2190937807	418315407	2054736072	0	Intello	3/22/2026 10:57:32 AM

Reward Name	Count

Fleet Type	Attack	Defense	Health	Ship Ability	Captain Maneuver	Officer One Ability	Officer Two Ability	Officer Three Ability	Officer Attack Bonus	Damage Per Round	Armour Pierce	Shield Pierce	Accuracy	Critical Chance	Critical Damage	Officer Defense Bonus	Armour	Shield Deflection	Dodge	Officer Health Bonus	Shield Health	Hull Health	Impulse Speed	Warp Range	Warp Speed	Cargo Capacity	Protected Cargo	Mining Bonus	Debuff applied	Buff applied
Player Fleet 1	411338272	185448208	2232411136	Galaxy Class	Prepared For Anything	Quick Thinker	Bend the Rules	Fight for Peace	6.5	344773440	3667329	3667329	42934123	0.22	3.15	6.5	2569220	31976361	2544062	6.5	2158204705	2306617541	188	1184	480	4128750	0	1	NO	NO
Enemy Fleet 1	384607968	162726976	2122836992	Galaxy Class	Teaching Moments	Advanced Training	No Fear	Energy Absorber	6.5	323557664	3353646	3353646	39358741	0.22	4.15	6.5	2217604	28134032	2193758	6.5	2054736072	2190937807	167	1045	319.09	3371690	0	1	NO	NO

Round	Battle Event	Type	Attacker Name	Attacker Alliance	Attacker Ship	Attacker - Is Armada?	Target Name	Target Alliance	Target Ship	Target - Is Armada?	Hyperthermic Decay %	Hyperthermic Stablizer %	Critical Hit?	Hull Damage	Shield Damage	Mitigated Damage	Mitigated Isolytic Damage	Mitigated Apex Barrier	Total Damage	Total Isolytic Damage	Ability Type	Ability Value	Ability Name	Ability Owner Name	Target Defeated	Target Destroyed	Charging Weapons %
1	11	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1940808	7763234	27369164	95909104	22327892	45949764	109360438	--	--	--	--	--	--	--
1	12	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1798989	7195958	25369240	88900824	20696344	42592115	101369240	--	--	--	--	--	--	--
1	13	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2036700	8146798	28721414	100647760	23431064	48220041	114763695	--	--	--	--	--	--	--
2	15	battle_action_type_{0}	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	--	1162945	--	--	--	--
2	16	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2367832	9471330	22848178	71175664	13676274	38009308	81529970	--	--	--	--	--	--	--
2	17	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2171811	8687244	20956690	65283376	12544081	34862703	74780499	--	--	--	--	--	--	--
2	18	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2321544	9286176	22401524	69784264	13408918	37266271	79936155	--	--	--	--	--	--	--
2	19	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2406540	9626159	23221680	72339176	13899841	38630651	82862745	--	--	--	--	--	--	--
2	20	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2245308	8981233	21665892	67492656	12968590	36042504	77311175	--	--	--	--	--	--	--
2	21	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2331295	9325181	22495616	70077368	13465239	37422799	80271900	--	--	--	--	--	--	--
2	22	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1885829	7543314	26693674	93542000	21812220	44815692	106661345	--	--	--	--	--	--	--
2	23	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2109904	8439615	29865430	104656712	24403960	50140716	119334905	--	--	--	--	--	--	--
2	24	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1931139	7724558	27335042	95789528	22336300	45892476	109224091	--	--	--	--	--	--	--
2	25	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1934592	7738366	27383906	95960768	22376230	45974515	109419347	--	--	--	--	--	--	--
2	26	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1884435	7537742	26673952	93472896	21796106	44782582	106582549	--	--	--	--	--	--	--
2	27	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1797886	7191543	25448854	89179808	20795040	42725779	101687352	--	--	--	--	--	--	--
2	28	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	9715287	38861148	93746760	292035872	56114160	155953331	334519896	--	--	--	--	--	--	--
2	29	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	10612106	42448424	102400528	318993696	61294060	170349390	365399424	--	--	--	--	--	--	--
2	30	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	8081229	32324914	114388800	400849920	93470600	192045999	457069464	--	--	--	--	--	--	--
2	31	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	9300328	37201312	131645000	461320416	107571168	221017224	526021000	--	--	--	--	--	--	--
3	33	battle_action_type_{0}	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	--	2892534	--	--	--	--
3	34	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2322192	9288767	22508074	69951336	13412659	37355495	80127533	--	--	--	--	--	--	--
3	35	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2138395	8553579	20726604	64414832	12351074	34398881	73785603	--	--	--	--	--	--	--
3	36	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2213334	8853336	21452960	66672224	12783912	35604376	76371390	--	--	--	--	--	--	--
3	37	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2044999	8179995	19821354	61601464	11811631	32896483	70562960	--	--	--	--	--	--	--
3	38	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2359238	9436951	22867146	71067280	13626632	37951428	81405819	--	--	--	--	--	--	--
3	39	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2351724	9406896	22794318	70840944	13583234	37830560	81146556	--	--	--	--	--	--	--
3	40	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1896376	7585505	26943314	94416808	22051652	45234809	107658846	--	--	--	--	--	--	--
3	41	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1848505	7394020	26263170	92033400	21494992	44092924	104941163	--	--	--	--	--	--	--
3	42	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1902673	7610693	27032780	94730320	22124876	45385013	108016329	--	--	--	--	--	--	--
3	43	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1943794	7775175	27617012	96777632	22603038	46365873	110350778	--	--	--	--	--	--	--
3	44	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2015725	8062901	28638998	100358952	23439478	48081673	114434381	--	--	--	--	--	--	--
3	45	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1819508	7278034	25851192	90589712	21157808	43401258	103294996	--	--	--	--	--	--	--
4	47	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2435664	9742654	23502710	73214632	14068057	39098160	83865557	--	--	--	--	--	--	--
4	48	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2347431	9389722	22651312	70562392	13558435	37681810	80827482	--	--	--	--	--	--	--
4	49	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2499286	9997142	24116622	75127064	14435529	40119441	86056202	--	--	--	--	--	--	--
4	50	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2383738	9534952	23001656	71653768	13768141	38264628	82077627	--	--	--	--	--	--	--
4	51	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2323943	9295772	22424672	69856368	13422774	37304780	80018749	--	--	--	--	--	--	--
4	52	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2136170	8544681	20612774	64212028	12338224	34290580	73553297	--	--	--	--	--	--	--
4	53	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1932821	7731282	27563408	96589784	22595166	46275877	110136584	--	--	--	--	--	--	--
4	54	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1900402	7601610	27101100	94969736	22216190	45499715	108289323	--	--	--	--	--	--	--
4	55	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2056152	8224606	29322194	102753064	24036936	49228683	117164269	--	--	--	--	--	--	--
4	56	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1812145	7248580	25842486	90559200	21184438	43386643	103260206	--	--	--	--	--	--	--
4	57	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1990856	7963425	28391036	99490032	23273618	47665373	113443594	--	--	--	--	--	--	--
4	58	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2051127	8204507	29250540	102501960	23978198	49108384	116877948	--	--	--	--	--	--	--
5	60	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2069964	8279854	20063328	62353472	11955824	33298075	71424367	--	--	--	--	--	--	--
5	61	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2277244	9108978	22072418	68597392	13153050	36632459	78576623	--	--	--	--	--	--	--
5	62	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2083890	8335558	20198306	62772968	12036259	33522092	71904889	--	--	--	--	--	--	--
5	63	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2361900	9447599	22892950	71147472	13642008	37994253	81497676	--	--	--	--	--	--	--
5	64	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2349499	9397994	22772748	70773904	13570380	37794761	81069764	--	--	--	--	--	--	--
5	65	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2064612	8258446	20011452	62192256	11924912	33211980	71239698	--	--	--	--	--	--	--
5	66	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1896187	7584748	27141368	95110848	22284396	45567321	108450226	--	--	--	--	--	--	--
5	67	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2052049	8208195	29372322	102928728	24116118	49312842	117364570	--	--	--	--	--	--	--
5	68	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1905839	7623354	27279520	95594968	22397826	45799263	109002244	--	--	--	--	--	--	--
5	69	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2067934	8271738	29599702	103725528	24302808	49694588	118273122	--	--	--	--	--	--	--
5	70	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1869838	7479351	26764216	93789200	21974736	44934125	106943216	--	--	--	--	--	--	--
5	71	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1971456	7885826	28218752	98886296	23168980	47376127	112755183	--	--	--	--	--	--	--
5	72	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	10471076	41884304	101039672	314754432	60479488	168085524	360543448	--	--	--	--	--	--	--
5	73	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	10803301	43213204	104245448	324740928	62398376	173418521	371982736	--	--	--	--	--	--	--
5	74	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	8539304	34157216	122228664	428322976	100355736	205208256	488395640	--	--	--	--	--	--	--
5	75	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	8875826	35503304	127045528	445202592	104310616	213295226	507642640	--	--	--	--	--	--	--
6	77	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2286365	9145460	23111436	63940280	13205728	38447253	73242016	--	--	--	--	--	--	--
6	78	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2128316	8513265	21513820	59520300	12292860	35789523	68179038	--	--	--	--	--	--	--
6	79	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2264681	9058726	22892250	63333880	13080487	38082624	72547400	--	--	--	--	--	--	--
6	80	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2048293	8193174	20704920	57282396	11830661	34443870	65615574	--	--	--	--	--	--	--
6	81	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2202726	8810904	22265982	61601240	12722642	37040790	70562704	--	--	--	--	--	--	--
6	82	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2410111	9640442	24362304	67400936	13920466	40528146	77206113	--	--	--	--	--	--	--
6	83	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2081323	8325292	29901546	104783264	24589132	50201350	119479207	--	--	--	--	--	--	--
6	84	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1856168	7424674	26666838	93447960	21929114	44770638	106554116	--	--	--	--	--	--	--
6	85	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1893020	7572082	27196276	95303264	22364490	45659504	108669628	--	--	--	--	--	--	--
6	86	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2027021	8108084	29121410	102049456	23947596	48891588	116361979	--	--	--	--	--	--	--
6	87	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1985955	7943822	28531436	99982024	23462440	47901088	114004589	--	--	--	--	--	--	--
6	88	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2065614	8262454	29675854	103992384	24403538	49822439	118577405	--	--	--	--	--	--	--
7	90	battle_action_type_{0}	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	U.S.S. ENTERPRISE-D	NO	--	--	--	--	--	--	--	--	--	--	--	--	1190910	--	--	--	--
7	91	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2016387	8065550	20475698	56515048	11646376	33982464	64736595	--	--	--	--	--	--	--
7	92	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	1950402	7801607	19805636	54665608	11265252	32870397	62618108	--	--	--	--	--	--	--
7	93	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2213534	8854135	22477648	62040640	12785066	37304998	71066025	--	--	--	--	--	--	--
7	94	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2239956	8959824	22745956	62781196	12937677	37750295	71914314	--	--	--	--	--	--	--
7	95	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	1967840	7871360	19982714	55154364	11365973	33164285	63177966	--	--	--	--	--	--	--
7	96	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2057880	8231520	20897038	57677988	11886031	34681742	66068715	--	--	--	--	--	--	--
7	97	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1806246	7224984	25949622	90934640	21339322	43566513	103688301	--	--	--	--	--	--	--
7	98	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1883867	7535466	27064768	94842416	22256346	45438717	108144146	--	--	--	--	--	--	--
7	99	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1775257	7101030	25504420	89374528	20973214	42819067	101909382	--	--	--	--	--	--	--
7	100	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1784967	7139866	25643910	89863336	21087922	43053255	102466746	--	--	--	--	--	--	--
7	101	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	1955955	7823819	28100428	98471656	23108008	47177476	112282390	--	--	--	--	--	--	--
7	102	Attack	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	--	--	NO	2028423	8113693	29141554	102120048	23964164	48925409	116442473	--	--	--	--	--	--	--
8	104	Attack	Jimbob1325	Ronin	U.S.S. ENTERPRISE-D	NO	TojlathHD	The Pack	U.S.S. ENTERPRISE-D	NO	--	--	NO	2199599	8798394	22234370	61513780	12704578	36988201	70462520	--	--	--	--	--	--	--
